Date,High,Low,Open,Close,Volume
06/03/2025,17.45,17.1,17.2,17.45,1853100
05/03/2025,17.4,17.1,17.4,17.1,1613700
04/03/2025,17.5,17.15,17.5,17.35,1950000
03/03/2025,17.75,17.4,17.6,17.5,1797400
28/02/2025,17.85,17.55,17.65,17.6,2224500
27/02/2025,17.65,17.2,17.2,17.6,4059900
26/02/2025,17.3,17.1,17.2,17.2,1179100
25/02/2025,17.45,17.1,17.45,17.2,1007600
24/02/2025,17.4,17.05,17.3,17.25,1206900
21/02/2025,17.6,17.1,17.15,17.3,2087200
20/02/2025,17.45,17.1,17.4,17.15,2095400
19/02/2025,17.3,16.9,16.9,17.3,1797200
18/02/2025,17.1,16.8,16.8,16.85,1135600
17/02/2025,17.0,16.75,16.8,16.8,1305300
14/02/2025,16.95,16.7,16.9,16.75,1102800
13/02/2025,16.95,16.3,16.3,16.95,1574300
12/02/2025,16.85,16.3,16.75,16.4,1748100
11/02/2025,16.8,16.55,16.55,16.75,1161800
10/02/2025,17.2,16.55,17.2,16.55,2801500
07/02/2025,17.4,17.15,17.35,17.25,1260300
06/02/2025,17.65,17.15,17.65,17.3,2330900
05/02/2025,17.75,17.35,17.75,17.45,1775300
04/02/2025,17.65,17.0,17.0,17.65,2276400
24/01/2025,18.0,17.1,18.0,17.2,5038600
23/01/2025,18.45,18.3,18.3,18.3,630700
22/01/2025,18.55,18.2,18.5,18.25,783200
21/01/2025,19.1,18.5,18.9,18.5,740700
20/01/2025,19.05,18.7,18.8,18.8,750900
17/01/2025,18.75,18.5,18.65,18.7,774300
16/01/2025,18.95,18.55,18.6,18.65,731400
15/01/2025,18.65,18.15,18.4,18.6,701700
14/01/2025,18.5,18.1,18.4,18.15,538000
13/01/2025,18.65,18.05,18.1,18.4,1201500
10/01/2025,18.85,18.1,18.75,18.1,1589300
09/01/2025,19.0,18.6,19.0,18.75,726700
08/01/2025,19.15,18.7,18.8,19.1,871100
07/01/2025,18.95,18.35,18.95,18.75,1445400
06/01/2025,19.55,18.55,19.4,18.65,2522000
03/01/2025,19.95,19.45,19.9,19.45,1378800
02/01/2025,20.0,19.6,19.85,19.7,919500
31/12/2024,20.15,19.6,19.65,19.8,1464700
30/12/2024,19.75,19.4,19.7,19.6,1823500
27/12/2024,20.3,19.6,20.15,19.8,2764600
26/12/2024,21.2,20.25,20.55,20.25,3690200
25/12/2024,20.55,20.2,20.45,20.5,1538900
24/12/2024,20.55,20.1,20.1,20.4,1763100
23/12/2024,20.5,20.1,20.5,20.1,2288000
20/12/2024,21.2,20.3,20.65,20.35,3977100
19/12/2024,20.8,20.2,20.3,20.6,1866400
18/12/2024,20.8,20.3,20.5,20.7,1332400
17/12/2024,21.35,20.45,21.0,20.45,2225900
16/12/2024,21.0,20.2,20.55,21.0,1548000
13/12/2024,20.95,20.05,20.3,20.55,2384300
12/12/2024,20.8,20.3,20.4,20.3,1832900
11/12/2024,21.1,20.2,21.1,20.5,3045600
10/12/2024,21.2,20.35,20.35,20.7,2431300
09/12/2024,20.45,19.9,20.0,20.35,2440400
06/12/2024,20.6,19.65,19.85,20.0,3315700
05/12/2024,19.4,18.0,18.15,19.4,3310100
04/12/2024,18.5,18.15,18.25,18.15,1556600
03/12/2024,18.75,18.25,18.45,18.3,1726000
02/12/2024,18.8,18.35,18.8,18.45,1189200
