Date,High,Low,Open,Close,Volume
06/03/2025,7.94,7.94,7.94,7.94,0
05/03/2025,7.96,7.8,7.96,7.94,400
04/03/2025,8.15,7.85,8.15,7.85,800
03/03/2025,7.8,7.68,7.8,7.68,300
28/02/2025,7.68,7.6,7.67,7.6,800
27/02/2025,7.69,7.33,7.33,7.69,1900
26/02/2025,7.33,7.33,7.33,7.33,100
25/02/2025,7.67,7.67,7.67,7.67,200
24/02/2025,7.68,7.68,7.68,7.68,100
21/02/2025,7.68,7.68,7.68,7.68,0
20/02/2025,7.68,7.32,7.32,7.68,2700
19/02/2025,7.31,7.28,7.28,7.31,400
18/02/2025,7.35,7.35,7.35,7.35,500
17/02/2025,7.35,7.35,7.35,7.35,100
14/02/2025,7.33,7.33,7.33,7.33,1200
13/02/2025,7.34,7.33,7.34,7.33,400
12/02/2025,7.34,7.34,7.34,7.34,0
11/02/2025,7.34,7.34,7.34,7.34,0
10/02/2025,7.34,7.28,7.29,7.34,500
07/02/2025,8.18,7.32,8.18,7.32,1800
06/02/2025,7.76,7.76,7.76,7.76,0
05/02/2025,7.76,7.76,7.76,7.76,0
04/02/2025,7.76,7.76,7.76,7.76,0
24/01/2025,7.77,7.26,7.26,7.76,1100
23/01/2025,7.76,7.76,7.76,7.76,0
22/01/2025,7.76,7.76,7.76,7.76,0
21/01/2025,7.76,7.76,7.76,7.76,100
20/01/2025,7.31,7.31,7.31,7.31,0
17/01/2025,7.31,7.31,7.31,7.31,0
16/01/2025,7.31,7.31,7.31,7.31,0
15/01/2025,7.31,7.31,7.31,7.31,100
14/01/2025,7.31,7.31,7.31,7.31,0
13/01/2025,7.31,7.3,7.3,7.31,400
10/01/2025,7.79,7.79,7.79,7.79,0
09/01/2025,7.79,7.79,7.79,7.79,100
08/01/2025,7.77,7.77,7.77,7.77,100
07/01/2025,7.77,7.77,7.77,7.77,100
06/01/2025,7.8,7.8,7.8,7.8,0
03/01/2025,7.8,7.8,7.8,7.8,0
02/01/2025,7.8,7.8,7.8,7.8,0
