Date,High,Low,Open,Close,Volume
06/03/2025,51.7,50.0,51.2,50.7,3492300
05/03/2025,52.8,51.0,52.0,51.0,2064800
04/03/2025,52.4,51.5,52.4,52.1,2057600
03/03/2025,53.1,51.5,53.1,52.2,4080100
28/02/2025,53.7,52.3,52.8,53.2,2077900
27/02/2025,53.0,52.3,53.0,53.0,1392900
26/02/2025,54.4,52.9,53.2,52.9,2729700
25/02/2025,53.0,52.1,52.7,53.0,1563700
24/02/2025,53.1,51.9,52.9,52.4,3082900
21/02/2025,53.9,52.8,53.6,53.2,1576200
20/02/2025,54.3,53.4,54.3,53.7,1255400
19/02/2025,53.8,52.7,52.7,53.8,1826600
18/02/2025,53.6,52.4,53.5,52.7,2359600
17/02/2025,55.0,53.3,54.1,53.3,2587900
14/02/2025,54.9,53.7,54.8,54.0,2298400
13/02/2025,54.3,52.7,53.0,54.2,2686100
12/02/2025,53.5,52.6,53.5,53.0,988400
11/02/2025,53.5,51.5,52.0,53.0,2257900
10/02/2025,53.9,52.1,53.8,52.1,3313300
07/02/2025,54.8,53.3,54.0,54.0,2256800
06/02/2025,55.0,53.5,54.5,54.1,1687300
05/02/2025,54.5,51.7,52.0,54.3,4983300
04/02/2025,52.1,51.3,52.1,51.8,1942100
24/01/2025,50.8,49.6,50.3,49.7,1165600
23/01/2025,50.3,49.2,49.5,50.3,2024800
22/01/2025,51.0,49.3,51.0,49.5,2415000
21/01/2025,51.3,50.3,51.0,50.8,1356100
20/01/2025,52.2,51.0,52.1,51.0,1343300
17/01/2025,52.5,50.9,51.7,52.1,2771300
16/01/2025,52.0,50.7,52.0,51.3,1485900
15/01/2025,51.0,49.4,49.7,51.0,2481600
14/01/2025,50.5,49.4,49.9,49.5,1455100
13/01/2025,49.5,48.45,49.4,49.45,1486700
10/01/2025,50.7,49.5,49.6,49.5,2477900
09/01/2025,50.4,49.2,49.5,49.5,1620100
08/01/2025,49.75,48.15,48.5,49.5,1242700
07/01/2025,48.95,48.1,48.2,48.4,1327600
06/01/2025,49.35,48.1,48.65,48.7,1251400
03/01/2025,49.5,48.25,49.5,48.65,1186000
02/01/2025,49.95,49.2,49.5,49.45,1199900
31/12/2024,49.5,48.95,48.95,49.5,985000
30/12/2024,49.45,48.7,49.0,49.15,851300
