Date,High,Low,Open,Close,Volume
06/03/2025,58.2,57.3,58.0,58.0,304000
05/03/2025,58.5,57.5,58.5,58.0,261500
04/03/2025,58.5,57.6,58.5,58.3,443700
03/03/2025,58.9,58.2,58.7,58.5,428400
28/02/2025,58.5,57.9,58.3,58.5,146500
27/02/2025,58.5,57.8,58.4,58.3,186100
26/02/2025,58.4,58.0,58.4,58.4,138000
25/02/2025,58.4,57.9,58.4,58.2,200600
24/02/2025,58.5,58.1,58.5,58.4,158900
21/02/2025,59.0,57.9,58.5,58.3,213500
20/02/2025,58.5,57.9,58.5,58.4,198000
19/02/2025,58.3,58.1,58.3,58.3,175600
18/02/2025,58.8,58.3,58.8,58.5,177000
17/02/2025,58.8,58.5,58.7,58.7,201100
14/02/2025,59.0,58.4,58.8,58.8,295400
13/02/2025,58.8,58.2,58.5,58.8,245800
12/02/2025,59.0,58.4,58.8,58.5,304400
11/02/2025,58.7,58.1,58.7,58.5,237000
10/02/2025,58.7,58.3,58.6,58.6,231300
07/02/2025,59.0,58.3,59.0,58.7,258400
06/02/2025,58.8,58.4,58.8,58.8,243300
05/02/2025,59.1,58.3,58.8,58.8,281700
04/02/2025,59.0,58.6,59.0,59.0,222400
24/01/2025,58.7,58.1,58.6,58.7,220300
23/01/2025,58.8,58.3,58.7,58.5,256100
22/01/2025,59.0,58.2,59.0,58.5,262900
21/01/2025,59.0,58.1,59.0,58.7,340700
20/01/2025,58.9,58.0,58.8,58.7,451200
17/01/2025,58.8,58.3,58.8,58.8,367700
16/01/2025,59.0,58.4,58.9,58.8,350100
15/01/2025,58.7,58.1,58.5,58.7,297500
14/01/2025,59.2,57.6,58.4,58.4,290000
13/01/2025,58.4,57.9,58.3,58.4,410900
10/01/2025,58.8,58.1,58.8,58.1,455700
09/01/2025,58.7,58.1,58.7,58.5,427800
08/01/2025,58.8,58.3,58.8,58.5,431300
07/01/2025,58.8,58.2,58.8,58.7,430500
06/01/2025,59.8,58.1,59.8,58.7,439400
03/01/2025,59.4,58.4,58.9,58.7,426800
02/01/2025,59.0,58.4,59.0,58.9,439800
31/12/2024,59.8,58.4,59.4,58.4,650300
30/12/2024,59.3,58.2,58.2,59.1,584000
27/12/2024,59.2,58.1,59.2,58.8,622000
26/12/2024,59.1,56.5,56.5,58.9,720100
25/12/2024,59.4,58.3,58.9,58.8,753400
24/12/2024,59.5,58.6,58.9,58.6,694400
23/12/2024,59.7,59.0,59.1,59.3,600000
20/12/2024,59.6,58.9,59.2,59.1,735300
19/12/2024,59.9,59.0,59.6,59.2,673800
18/12/2024,60.0,59.0,59.5,59.6,785500
17/12/2024,59.6,58.5,59.1,59.3,834300
16/12/2024,59.0,57.6,58.0,59.0,730900
13/12/2024,57.8,56.1,56.8,57.7,702400
12/12/2024,56.9,54.4,55.0,56.5,758900
11/12/2024,54.9,52.4,52.5,54.9,850300
10/12/2024,53.0,49.95,50.0,52.4,728000
09/12/2024,50.0,49.9,50.0,50.0,560300
06/12/2024,50.1,49.9,50.0,50.0,535700
05/12/2024,50.4,49.65,50.2,50.2,583700
04/12/2024,50.5,49.65,50.5,50.4,661000
03/12/2024,51.0,50.0,51.0,50.5,763000
02/12/2024,51.5,50.7,51.5,51.1,643600
29/11/2024,51.7,51.1,51.3,51.5,655300
28/11/2024,51.8,50.9,50.9,51.3,890800
27/11/2024,51.0,50.1,50.9,50.8,528700
26/11/2024,50.9,50.0,50.9,50.5,634100
25/11/2024,51.4,49.9,50.3,50.4,627400
22/11/2024,50.1,49.6,49.9,50.0,618600
21/11/2024,50.4,49.75,50.3,50.1,586300
20/11/2024,50.1,49.55,50.1,50.1,582400
19/11/2024,50.1,48.9,50.1,50.1,663500
18/11/2024,50.2,48.85,50.1,50.1,759300
15/11/2024,50.3,49.9,50.0,50.2,541200
14/11/2024,50.3,49.95,50.3,50.2,582800
13/11/2024,50.4,49.9,50.2,50.3,586100
12/11/2024,50.5,50.0,50.4,50.3,563100
11/11/2024,50.4,49.95,50.4,50.3,559300
08/11/2024,50.4,49.95,50.4,50.3,549800
07/11/2024,50.5,50.0,50.5,50.3,542900
06/11/2024,51.0,49.9,50.8,50.0,683900
05/11/2024,50.8,49.55,50.2,50.8,696000
04/11/2024,51.0,49.95,50.7,49.95,600200
01/11/2024,50.8,50.3,50.8,50.7,599700
31/10/2024,50.8,50.5,50.8,50.7,624800
30/10/2024,51.1,50.4,50.8,50.6,611300
29/10/2024,51.2,50.6,51.2,50.8,557600
28/10/2024,51.2,50.6,51.2,51.0,585000
25/10/2024,51.6,51.0,51.6,51.2,558300
24/10/2024,51.9,51.0,51.5,51.5,555100
23/10/2024,53.0,51.0,53.0,51.5,634300
22/10/2024,50.9,50.3,50.4,50.9,640200
21/10/2024,50.5,50.1,50.5,50.4,567500
18/10/2024,50.5,50.1,50.5,50.3,580000
17/10/2024,50.5,50.1,50.5,50.3,566100
16/10/2024,50.7,50.3,50.7,50.5,553500
15/10/2024,50.9,50.3,50.6,50.5,563800
14/10/2024,51.2,50.5,51.2,50.6,541700
11/10/2024,51.6,51.0,51.3,51.2,542900
10/10/2024,51.0,50.6,50.9,50.9,596100
09/10/2024,50.9,50.5,50.9,50.8,586300
08/10/2024,51.4,50.6,51.4,50.9,565900
07/10/2024,51.3,50.6,50.9,50.9,533600
04/10/2024,51.2,50.4,50.8,50.8,625300
03/10/2024,51.4,50.6,51.0,51.0,628500
02/10/2024,51.6,50.9,51.3,51.2,559700
01/10/2024,52.0,50.9,51.6,51.6,673800
30/09/2024,52.5,51.0,52.5,51.6,482500
27/09/2024,52.9,50.3,50.3,52.0,530500
26/09/2024,50.5,49.6,50.5,50.3,698700
25/09/2024,51.2,50.1,51.1,50.7,892300
24/09/2024,51.9,49.75,51.9,51.5,868500
23/09/2024,53.8,51.9,53.8,51.9,876800
20/09/2024,54.8,53.2,54.8,53.2,1111100
19/09/2024,54.7,54.1,54.7,54.6,656000
18/09/2024,55.0,54.2,54.9,54.5,766200
17/09/2024,55.0,54.4,55.0,54.8,774500
16/09/2024,55.0,54.4,54.8,54.8,847400
13/09/2024,55.0,54.4,55.0,54.8,568800
12/09/2024,55.1,54.6,55.1,54.8,711000
11/09/2024,55.0,54.4,55.0,54.8,665600
10/09/2024,55.3,54.6,55.3,54.8,721300
09/09/2024,55.2,54.6,55.0,55.1,711400
06/09/2024,55.3,54.7,55.3,55.1,699800
05/09/2024,55.7,54.9,55.3,55.2,739900
04/09/2024,55.4,55.0,55.2,55.3,690700
30/08/2024,55.6,55.0,55.3,55.4,776100
29/08/2024,55.4,55.1,55.1,55.3,723300
28/08/2024,55.5,55.0,55.5,55.3,737700
27/08/2024,55.5,55.0,55.0,55.3,738500
26/08/2024,55.7,55.2,55.5,55.3,815300
23/08/2024,56.0,55.2,55.7,55.5,1034200
22/08/2024,55.9,55.3,55.9,55.6,1007100
21/08/2024,56.4,55.0,55.2,55.6,874200
20/08/2024,55.5,54.5,55.0,55.5,874000
19/08/2024,55.4,54.6,54.6,54.9,754300
16/08/2024,55.4,54.0,54.8,55.4,762500
15/08/2024,55.2,54.2,55.2,54.5,842500
14/08/2024,55.4,54.2,54.9,55.2,868900
13/08/2024,55.2,54.3,55.2,55.1,822500
12/08/2024,55.5,54.6,55.5,55.3,787400
09/08/2024,55.5,54.1,54.9,55.5,795100
08/08/2024,55.3,54.1,55.3,55.0,789300
07/08/2024,56.2,55.1,56.2,55.3,814900
06/08/2024,56.4,55.5,56.4,56.4,827300
05/08/2024,57.6,56.4,57.5,56.6,754400
02/08/2024,58.0,56.9,58.0,57.7,826400
01/08/2024,58.3,57.4,58.3,58.1,742300
31/07/2024,58.5,57.5,58.3,58.3,719100
30/07/2024,58.7,58.3,58.7,58.3,707500
29/07/2024,59.0,58.0,58.6,58.3,765000
26/07/2024,58.0,55.7,56.2,58.0,719800
25/07/2024,56.3,55.9,56.3,56.2,628300
24/07/2024,56.4,55.9,56.3,56.3,641000
23/07/2024,56.5,55.7,56.4,56.4,772000
22/07/2024,56.5,56.1,56.5,56.5,735600
19/07/2024,56.6,56.3,56.4,56.5,720400
18/07/2024,56.6,56.0,56.5,56.6,725500
17/07/2024,56.7,56.1,56.6,56.3,758400
16/07/2024,56.7,56.2,56.6,56.7,783200
15/07/2024,56.9,56.2,56.9,56.7,721300
12/07/2024,56.9,55.9,56.7,56.8,719700
11/07/2024,57.1,56.1,57.1,56.8,711300
10/07/2024,57.3,56.4,57.2,56.9,797000
09/07/2024,57.1,56.4,56.7,57.1,725400
08/07/2024,57.3,56.4,57.3,56.4,778500
05/07/2024,57.1,56.5,57.1,57.0,736900
04/07/2024,57.5,56.7,57.5,56.7,822900
03/07/2024,57.6,56.7,57.5,57.1,791900
02/07/2024,57.0,55.1,55.9,57.0,801800
01/07/2024,55.5,54.1,55.0,55.5,691100
28/06/2024,55.9,54.3,55.9,55.0,500500
27/06/2024,57.4,55.0,57.2,55.0,632300
26/06/2024,57.9,56.8,57.9,57.3,714200
25/06/2024,58.0,57.3,57.6,57.9,756800
24/06/2024,59.4,54.8,58.4,58.0,1224400
21/06/2024,59.7,57.8,58.6,58.4,1057000
20/06/2024,58.6,57.6,58.3,58.4,778300
19/06/2024,59.8,58.2,59.8,58.4,841000
18/06/2024,60.3,59.3,59.8,59.6,788600
17/06/2024,60.9,59.5,60.9,60.0,884100
14/06/2024,62.1,60.1,62.1,60.9,1006800
13/06/2024,64.3,61.8,64.3,62.2,977900
