Date,High,Low,Open,Close,Volume
06/03/2025,21.2,20.8,21.1,20.8,360200
05/03/2025,21.2,20.45,20.5,21.1,846800
04/03/2025,20.55,20.3,20.4,20.5,379200
03/03/2025,20.45,20.2,20.4,20.4,361400
28/02/2025,20.85,20.4,20.65,20.55,316800
27/02/2025,20.9,19.45,19.55,20.65,603300
26/02/2025,19.55,19.4,19.45,19.55,226700
25/02/2025,19.5,19.3,19.5,19.5,210800
24/02/2025,19.5,19.25,19.4,19.5,234500
21/02/2025,19.5,19.2,19.5,19.45,207100
20/02/2025,19.5,19.35,19.5,19.5,211700
19/02/2025,19.55,19.25,19.5,19.55,330000
18/02/2025,19.6,19.4,19.5,19.55,185800
17/02/2025,19.7,19.25,19.7,19.55,158900
14/02/2025,19.7,19.15,19.5,19.7,475300
13/02/2025,19.55,19.3,19.5,19.55,240800
12/02/2025,19.65,19.3,19.65,19.55,181100
11/02/2025,19.65,19.4,19.55,19.65,277700
10/02/2025,19.7,19.45,19.7,19.55,227900
07/02/2025,19.75,19.55,19.75,19.75,208700
06/02/2025,19.9,19.6,19.8,19.8,183100
05/02/2025,19.9,19.55,19.6,19.8,170400
04/02/2025,20.0,19.5,19.8,19.85,303200
24/01/2025,19.85,19.25,19.5,19.65,270300
23/01/2025,19.6,19.3,19.3,19.6,207800
22/01/2025,19.5,19.1,19.15,19.35,253700
21/01/2025,19.3,19.0,19.2,19.15,185100
20/01/2025,19.3,18.95,19.2,19.3,228200
17/01/2025,19.25,19.05,19.1,19.25,272700
16/01/2025,19.25,19.0,19.15,19.25,191300
15/01/2025,19.55,19.15,19.15,19.25,162300
14/01/2025,19.5,19.15,19.2,19.2,154500
13/01/2025,19.35,19.05,19.3,19.35,169700
10/01/2025,19.35,19.05,19.2,19.35,149900
09/01/2025,19.5,19.1,19.5,19.4,124500
08/01/2025,19.5,18.9,19.1,19.5,216100
07/01/2025,19.2,18.85,19.15,19.2,233000
06/01/2025,19.7,19.15,19.6,19.15,238100
03/01/2025,19.8,19.45,19.6,19.7,181600
02/01/2025,19.95,19.55,19.7,19.75,174800
31/12/2024,19.9,19.5,19.6,19.9,198600
30/12/2024,19.9,19.5,19.85,19.65,243100
27/12/2024,20.1,19.7,20.1,19.85,238200
26/12/2024,20.25,19.95,20.0,20.0,210100
25/12/2024,20.05,19.1,19.4,20.0,484800
24/12/2024,19.45,19.15,19.45,19.3,195200
23/12/2024,19.55,19.2,19.5,19.45,310900
20/12/2024,19.55,19.3,19.4,19.55,205700
19/12/2024,19.7,19.35,19.7,19.6,184100
18/12/2024,19.7,19.3,19.6,19.7,389900
17/12/2024,19.7,19.4,19.5,19.7,227800
16/12/2024,19.7,19.35,19.6,19.7,281400
13/12/2024,19.7,19.4,19.6,19.7,221500
12/12/2024,19.7,19.4,19.7,19.7,221800
11/12/2024,19.7,19.4,19.5,19.7,235100
10/12/2024,19.95,19.5,19.6,19.5,226300
09/12/2024,19.8,19.55,19.7,19.7,273300
06/12/2024,20.0,19.65,20.0,19.7,186100
05/12/2024,20.0,19.5,20.0,20.0,356300
04/12/2024,19.9,19.5,19.9,19.9,225200
03/12/2024,20.05,19.8,20.0,19.95,282400
02/12/2024,20.1,19.9,20.1,20.0,217400
29/11/2024,20.15,19.9,20.0,20.15,210100
28/11/2024,20.25,20.0,20.2,20.15,210900
27/11/2024,20.35,19.4,19.4,20.2,243900
26/11/2024,19.8,19.25,19.25,19.5,367500
25/11/2024,19.4,19.15,19.4,19.4,172400
22/11/2024,19.7,19.2,19.7,19.4,179100
21/11/2024,19.85,18.9,19.0,19.7,207600
20/11/2024,19.2,18.6,18.7,19.2,369400
19/11/2024,19.5,18.7,19.4,18.7,448200
18/11/2024,19.75,19.05,19.5,19.5,185900
15/11/2024,20.15,19.2,19.5,19.8,261900
14/11/2024,20.05,19.15,20.05,19.55,480500
13/11/2024,20.3,19.85,20.0,20.05,151400
12/11/2024,20.35,19.8,20.0,20.0,285400
11/11/2024,20.6,20.0,20.6,20.3,264500
08/11/2024,20.95,20.5,20.95,20.75,179000
07/11/2024,21.35,20.7,21.35,20.95,214000
06/11/2024,21.35,20.9,20.9,21.35,200500
05/11/2024,21.75,20.9,21.75,21.2,240200
04/11/2024,21.75,20.0,20.5,21.75,497900
01/11/2024,20.8,20.35,20.5,20.5,284000
31/10/2024,21.45,20.5,20.7,20.7,236500
30/10/2024,20.8,20.5,20.7,20.7,286400
29/10/2024,20.9,20.6,20.7,20.7,195000
28/10/2024,20.9,20.5,20.8,20.7,182500
25/10/2024,21.2,20.7,20.7,20.8,248200
24/10/2024,21.5,20.0,21.3,21.0,405800
23/10/2024,21.8,21.15,21.7,21.5,272500
22/10/2024,22.4,21.45,21.8,21.7,367800
21/10/2024,21.9,21.65,21.8,21.8,232300
18/10/2024,22.4,21.8,21.95,21.8,389900
17/10/2024,22.0,20.55,21.1,22.0,953700
16/10/2024,21.2,21.0,21.2,21.1,253000
15/10/2024,21.4,21.05,21.2,21.25,233300
14/10/2024,21.5,21.2,21.5,21.3,349400
11/10/2024,21.2,20.85,20.9,21.2,229100
10/10/2024,21.45,20.9,21.0,21.0,242400
09/10/2024,20.95,20.5,20.5,20.9,185600
08/10/2024,20.7,20.35,20.7,20.7,247000
07/10/2024,20.85,20.6,20.75,20.7,281400
04/10/2024,21.1,20.75,20.9,20.75,281800
03/10/2024,21.5,20.5,21.3,21.2,689600
02/10/2024,21.8,20.65,20.8,21.3,518900
01/10/2024,21.0,20.7,20.95,20.8,253300
30/09/2024,21.2,20.55,20.75,20.95,324800
27/09/2024,21.1,20.65,21.1,20.75,234300
26/09/2024,21.2,20.3,20.55,21.0,284000
25/09/2024,21.15,20.55,21.15,20.55,443400
24/09/2024,21.25,20.5,21.0,21.15,566700
23/09/2024,20.5,19.2,19.2,20.5,689000
20/09/2024,19.5,18.8,19.4,19.2,219400
19/09/2024,19.0,18.7,18.85,18.9,168000
18/09/2024,19.05,18.6,18.95,18.9,227100
17/09/2024,19.0,18.2,18.3,18.9,283900
16/09/2024,19.5,18.5,19.4,18.5,357800
13/09/2024,19.5,19.2,19.3,19.5,139200
12/09/2024,19.65,19.1,19.3,19.5,187800
11/09/2024,19.75,19.1,19.75,19.35,236000
10/09/2024,19.65,18.4,18.5,19.35,474700
09/09/2024,20.5,19.8,20.2,20.25,231800
06/09/2024,20.75,19.9,20.5,20.2,405600
05/09/2024,21.6,20.4,21.45,20.5,619500
04/09/2024,21.85,20.5,20.5,21.45,548400
30/08/2024,20.5,19.15,19.35,20.5,668500
29/08/2024,19.2,18.55,18.8,19.2,488100
28/08/2024,18.6,18.45,18.6,18.55,264900
27/08/2024,18.65,18.5,18.6,18.6,196100
26/08/2024,18.65,18.4,18.4,18.65,260500
23/08/2024,18.6,18.4,18.45,18.4,279800
22/08/2024,18.8,18.45,18.75,18.5,251600
21/08/2024,18.75,18.55,18.7,18.75,304100
20/08/2024,18.7,18.45,18.7,18.7,418200
19/08/2024,18.7,18.3,18.3,18.65,325300
16/08/2024,18.3,17.65,17.65,18.3,339800
15/08/2024,18.2,17.9,18.1,18.05,206400
14/08/2024,18.3,17.55,17.6,18.1,310700
13/08/2024,17.65,17.3,17.3,17.65,273000
12/08/2024,17.5,17.2,17.4,17.3,119000
09/08/2024,17.4,17.0,17.2,17.4,19200
08/08/2024,17.5,16.8,17.5,17.4,9300
