Date,High,Low,Open,Close,Volume
06/03/2025,26.25,26.0,26.05,26.1,1271700
05/03/2025,26.35,26.0,26.3,26.0,2037600
04/03/2025,26.75,26.25,26.7,26.3,2564200
03/03/2025,26.85,26.6,26.8,26.65,1659800
28/02/2025,27.15,26.45,26.45,26.7,4052000
27/02/2025,26.55,26.3,26.45,26.45,1227400
26/02/2025,26.85,26.3,26.3,26.35,1990400
25/02/2025,26.55,26.3,26.35,26.35,1740600
24/02/2025,26.5,26.25,26.35,26.3,1564400
21/02/2025,26.65,26.35,26.6,26.4,1326400
20/02/2025,26.65,26.25,26.25,26.55,2575900
19/02/2025,26.35,26.1,26.15,26.2,1932200
18/02/2025,26.4,26.15,26.3,26.15,1151100
17/02/2025,26.4,26.05,26.3,26.1,1484300
14/02/2025,26.35,25.9,25.9,26.1,1668000
13/02/2025,26.0,25.75,25.85,25.75,1410000
12/02/2025,26.1,25.8,25.9,25.85,504700
11/02/2025,26.2,25.75,26.2,25.75,1473100
10/02/2025,26.45,25.85,26.45,25.9,2378400
07/02/2025,26.8,26.5,26.6,26.55,1959200
06/02/2025,26.75,26.25,26.4,26.65,1953300
05/02/2025,26.5,26.1,26.15,26.3,1815200
04/02/2025,26.05,25.6,25.8,26.05,1431200
24/01/2025,26.45,26.1,26.4,26.1,1087900
23/01/2025,26.45,26.1,26.2,26.35,806200
22/01/2025,26.5,26.1,26.3,26.1,891200
21/01/2025,26.75,26.0,26.55,26.2,1758700
20/01/2025,26.85,26.5,26.75,26.5,838500
17/01/2025,26.95,26.4,26.55,26.7,1793900
16/01/2025,26.85,26.4,26.75,26.4,1047600
15/01/2025,26.65,25.95,25.95,26.5,1618000
14/01/2025,26.2,25.9,26.2,25.95,766700
13/01/2025,26.1,25.7,25.7,25.95,1333300
10/01/2025,26.8,25.85,26.4,25.85,1639100
09/01/2025,26.7,26.3,26.7,26.4,868000
08/01/2025,26.7,26.15,26.5,26.7,1505600
07/01/2025,27.05,26.0,26.9,26.4,3053000
06/01/2025,27.85,26.6,27.8,26.9,2729400
03/01/2025,28.4,27.75,27.8,27.75,2346800
